ZIP;NAME;TYPE;A0_NAME;A1_NAME;A2_NAME;A3_NAME;A4_NAME;A5_NAME;A6_NAME;A7_NAME;A8_NAME;X_COORDINATE;Y_COORDINATE;SERVICE_HOURS;TEMP_SERVICE_HOURS;TEMP_SERVICE_HOURS_UNTIL;TEMP_SERVICE_HOURS_2;TEMP_SERVICE_HOURS_2_UNTIL;comment_est;comment_eng;comment_rus;comment_lav;comment_lit;MODIFIED
74002;Prangli väljastuspunkt;1;EE;Harju maakond;Viimsi vald;Idaotsa küla;;;Prangli rahvamaja;;;25.010052;59.62953;;;;;;;;;;;2024-01-29T09:11:03.973+02:00
80501;Pärnu postkontor;1;EE;Pärnu maakond;Pärnu linn;Pärnu linn;;Lai tn;;11;;24.504459;58.38746;"E,T,K,N,R 09:00-18:00 L 10:00-15:00 P SULETUD;Ligipääs ratastooliga";;;;;;;;;;2025-05-29T08:31:16.727+03:00
63301;Põlva postkontor;1;EE;Põlva maakond;Põlva vald;Põlva linn;;Ringtee;;4;;27.075782;58.065958;"E,T,K,N,R 09:00-18:00 L,P SULETUD;Ligipääs ratastooliga";;;;;;;;;;2025-04-15T09:36:37.050+03:00
75399;Rae postkontor;1;EE;Harju maakond;Rae vald;Peetri alevik;;Veesaare tee;;2;;24.811533;59.402353;"E,T,K,N,R 10:00-19:00 L,P SULETUD;Ligipääs ratastooliga";;;;;;;;;;2025-04-15T09:37:42.840+03:00
44301;Rakvere postkontor;1;EE;Lääne-Viru maakond;Rakvere linn;;;F. G. Adoffi tn;;11;;26.364142;59.348662;"E,T,K,N,R 09:00-18:00 L,P SULETUD;Ligipääs ratastooliga";;;;;;;;;;2025-04-15T09:38:13.853+03:00
79501;Rapla postkontor;1;EE;Rapla maakond;Rapla vald;Rapla linn;;Tallinna mnt;;17;;24.794818;59.00432;"E,T,K,N,R 09:00-18:00 L,P SULETUD;Ligipääs ratastooliga";;;;;;;;;;2025-04-15T09:38:49.347+03:00
50191;Ringtee postkontor;1;EE;Tartu maakond;Tartu linn;Tartu linn;;Võru tn;;167;;26.71343;58.344923;"E,T,K,N,R 10:00-19:00 L 10:00-15:00 P SULETUD;Ligipääs ratastooliga";;;;;;;;;;2025-04-15T09:39:27.030+03:00
13591;Rocca Al Mare postkontor;1;EE;Harju maakond;Tallinn;Haabersti linnaosa;;Paldiski mnt;;102;;24.651591;59.426851;"E,T,K,N,R 10:00-20:00 L 10:00-16:00 P SULETUD;Ligipääs ratastooliga";;;;;;;;;;2025-04-15T09:39:57.257+03:00
93091;Ruhnu postipunkt (raamatukogu);1;EE;Saare maakond;Ruhnu vald;Ruhnu küla;;;Raamatukogu;;;23.245469;57.802511;T,K,R 13:00-14:00 E,N,L,P SULETUD;;;;;;;;;;2025-05-21T16:29:30.707+03:00
64594;Räpina postipunkt;1;EE;Põlva maakond;Räpina vald;Räpina linn;;Kooli tn;;1;;27.464795;58.097239;"T,K,N 09:00-15:00 E,R,L,P SULETUD;Ligipääs ratastooliga";;;;;;;;;;2025-05-20T22:44:26.293+03:00
