ZIP;NAME;TYPE;A0_NAME;A1_NAME;A2_NAME;A3_NAME;A4_NAME;A5_NAME;A6_NAME;A7_NAME;A8_NAME;X_COORDINATE;Y_COORDINATE;SERVICE_HOURS;TEMP_SERVICE_HOURS;TEMP_SERVICE_HOURS_UNTIL;TEMP_SERVICE_HOURS_2;TEMP_SERVICE_HOURS_2_UNTIL;comment_est;comment_eng;comment_rus;comment_lav;comment_lit;MODIFIED
96405;Pärnu Lille Meie kaupluse pakiautomaat;0;EE;Pärnu maakond;Pärnu linn;Pärnu linn;;Lille tn;;44c;;24.511798;58.399424;;;;;;;;;;;2025-01-10T13:32:57.983+02:00
96315;Pärnu Oja Selver ABC pakiautomaat;0;EE;Pärnu maakond;Pärnu linn;Pärnu linn;;Liblika tn;;6;;24.531032;58.390586;;;;;;;;;;;2025-01-08T16:24:01.017+02:00
96399;Pärnu Olevi Meie kaupluse pakiautomaat;0;EE;Pärnu maakond;Pärnu linn;Pärnu linn;;Olevi tn;;27;;24.568999;58.353985;;;;;;;;;;;2025-01-10T11:07:43.963+02:00
96062;Pärnu Port Artur 2 pakiautomaat;0;EE;Pärnu maakond;Pärnu linn;Pärnu linn;;Lai tn;;11;;24.503573;58.387673;;;;;;;;;;;2025-05-14T11:23:02.560+03:00
96408;Pärnu Suurejõe Selveri pakiautomaat;0;EE;Pärnu maakond;Pärnu linn;Pärnu linn;;Suur-Jõe tn;;57;;24.533302;58.37821;;;;;;;;;;;2025-02-19T13:21:10.203+02:00
96027;Pärnu Suve Keskuse pakiautomaat;0;EE;Pärnu maakond;Pärnu linn;Pärnu linn;;Riia mnt;;131;;24.536591;58.375126;;;;;;;;;;;2025-06-03T09:19:27.733+03:00
96197;Pärnu Tiina Coop Konsumi pakiautomaat;0;EE;Pärnu maakond;Pärnu linn;Pärnu linn;;Riia mnt;;74;;24.526998;58.38005;;;;;;;;;;;2025-01-08T11:46:06.673+02:00
96198;Pärnu Turu pakiautomaat;0;EE;Pärnu maakond;Pärnu linn;Pärnu linn;;Suur-Sepa tn;;18;;24.50958;58.38221;;;;;;;;;;;2025-01-08T11:46:21.110+02:00
96077;Pärnu Ülejõe Selveri pakiautomaat;0;EE;Pärnu maakond;Pärnu linn;Pärnu linn;;Tallinna mnt;;93a;;24.49512;58.408451;;;;;;;;;;;2025-01-17T11:15:21.703+02:00
96109;Pärnu-Jaagupi Grossi pakiautomaat;0;EE;Pärnu maakond;Põhja-Pärnumaa vald;Pärnu-Jaagupi alev;;Uus tn;;20a;;24.504647;58.609379;;;;;;;;;;;2025-01-17T13:35:22.910+02:00
